180402_1606,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],i,g
180402_1606,1,globals,4,10,0,12,6,2,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,3,1,1,2,2,1,2,1,2,2,2,1,1,13,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,4,4,5,6,5,6,13,0
180402_1606,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectComprehensionPayoffsOK,TimePlotSelectMainStageOK,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,1,1,0,0,0,0,0,0,2.6,0,0,0,0,0,0,2,2,1,0,-,-,-,-,-,1.701183432,-32.38636364,-,-,1,3,4,7,9,10,1,4,1000,1,0.22,2.6,4,4,1,4,4,5,197,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,2,1,0,0,0,0,0,0,2.96,0,0,0,0,0,0,1,1,1,0,-,-,-,-,-,4.142011834,-26.89393939,-,-,2,5,6,8,11,12,1,4,999,4,0.82,2.96,4,7,7,7,5,4,200,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,3,1,0,0,0,0,0,0,2.64,0,0,0,0,0,0,2,2,2,0,-,-,-,-,-,-0.221893491,-27.84090909,-,-,3,1,4,7,9,10,1,4,996,1,0.22,2.64,4,4,1,4,4,5,193,-,998,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,4,1,0,0,0,0,0,0,2.64,0,0,0,0,0,0,2,2,3,0,-,-,-,-,-,-42.15976331,-24.62121212,-,-,4,1,3,7,9,10,1,1,997,1,0.34,2.64,1,4,4,4,4,5,191,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,5,1,0,0,0,0,0,0,2.84,0,0,0,0,0,0,1,1,2,0,-,-,-,-,-,41.12426036,-19.88636364,-,-,5,2,6,8,11,12,1,7,998,4,0.7,2.84,7,4,7,7,5,4,195,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,6,1,0,0,0,0,0,0,2.6,0,0,0,0,0,0,1,1,3,0,-,-,-,-,-,34.9852071,-24.62121212,-,-,6,2,5,8,11,12,1,7,998,4,0.7,2.6,7,4,7,7,5,4,198,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,7,1,0,0,0,0,0,0,2.44,0,0,0,0,0,0,2,2,4,0,-,-,-,-,-,1.775147929,-32.38636364,-,-,7,1,3,4,9,10,1,4,998,1,0.22,2.44,4,4,4,1,4,5,192,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,8,1,0,0,0,0,0,0,2.92,0,0,0,0,0,0,1,1,4,0,-,-,-,-,-,41.42011834,-31.43939394,-,-,8,2,5,6,11,12,1,7,999,4,0.7,2.92,7,4,7,7,5,4,196,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,9,1,0,0,0,0,0,0,2.52,0,0,0,0,0,0,2,2,5,0,-,-,-,-,-,4.142011834,-28.21969697,-,-,9,1,3,4,7,10,1,4,999,1,0.22,2.52,4,4,4,1,4,5,197,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,10,1,0,0,0,0,0,0,2.32,0,0,0,0,0,0,2,2,6,0,-,-,-,-,-,16.49408284,-31.43939394,-,-,10,1,3,4,7,9,1,5,999,1,0.18,2.32,5,4,4,1,4,4,196,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,11,1,0,0,0,0,0,0,2.96,0,0,0,0,0,0,1,1,5,0,-,-,-,-,-,17.08579882,-24.0530303,-,-,11,2,5,6,8,12,1,5,999,4,0.78,2.96,5,4,7,7,7,4,188,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,4,12,1,0,0,0,0,0,0,2.84,0,0,0,0,0,0,1,1,6,0,-,-,-,-,-,3.698224852,-27.65151515,-,-,12,2,5,6,8,11,1,4,998,4,0.82,2.84,4,4,7,7,7,5,199,-,999,,,,,,,,,,,,,,,,,
180402_1606,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],i,g
180402_1606,1,globals,5,10,0,12,6,2,1,0,0,0,0,8,1,0.2,0.04,0.18,0,0,0,0,0,200,1000,10,3,2,1,2,1,2,1,2,1,2,1,2,1,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,4,4,5,5,6,6,13,0
180402_1606,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,payoff[1],payoff[2],payoff[3],payoff[4],payoff[5],payoff[6],payoff[7],payoff[8],payoff[9],payoff[10],GroupID,firstGroupID,role,button,Input11,Input12,Input13,Input14,Input15,x,y,TimeContinueComprehensionPayoffsOK,TimeContinueGroupRandomizationMessageOK,r0,r1,r2,r3,r4,r5,ready,Choices,TimeOKMainStageOK,minChoice,prof,payment,choice0,choice1,choice2,choice3,choice4,choice5,TimeContinueInfornationOK,TimePlotSelectComprehensionPayoffsOK,TimePlotSelectMainStageOK,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,1,1,0,0,0,0,0,0,0,3.22,0,0,0,0,0,2,2,1,0,-,-,-,-,-,0.665680473,-31.81818182,-,-,1,3,4,7,9,10,1,4,1000,3,0.62,3.22,4,6,3,7,5,6,199,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,2,1,0,0,0,0,0,0,0,3.94,0,0,0,0,0,1,1,1,0,-,-,-,-,-,15.0887574,-32.38636364,-,-,2,5,6,8,11,12,1,5,1000,5,0.98,3.94,5,7,5,6,5,5,199,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,3,1,0,0,0,0,0,0,0,3.18,0,0,0,0,0,2,2,2,0,-,-,-,-,-,28.77218935,-30.68181818,-,-,3,1,4,7,9,10,1,6,1000,3,0.54,3.18,6,4,3,7,5,6,196,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,4,1,0,0,0,0,0,0,0,3.3,0,0,0,0,0,2,2,3,0,-,-,-,-,-,-15.0887574,-20.45454545,-,-,4,1,3,7,9,10,1,3,995,3,0.66,3.3,3,4,6,7,5,6,193,-,998,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,5,1,0,0,0,0,0,0,0,3.74,0,0,0,0,0,1,1,2,0,-,-,-,-,-,35.50295858,-22.72727273,-,-,5,2,6,8,11,12,1,7,999,5,0.9,3.74,7,5,5,6,5,5,198,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,6,1,0,0,0,0,0,0,0,3.58,0,0,0,0,0,1,1,3,0,-,-,-,-,-,14.57100592,-32.38636364,-,-,6,2,5,8,11,12,1,5,994,5,0.98,3.58,5,5,7,6,5,5,195,-,996,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,7,1,0,0,0,0,0,0,0,2.94,0,0,0,0,0,2,2,4,0,-,-,-,-,-,43.04733728,-24.81060606,-,-,7,1,3,4,9,10,1,7,999,3,0.5,2.94,7,4,6,3,5,6,194,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,8,1,0,0,0,0,0,0,0,3.86,0,0,0,0,0,1,1,4,0,-,-,-,-,-,26.03550296,-19.6969697,-,-,8,2,5,6,11,12,1,6,999,5,0.94,3.86,6,5,7,5,5,5,196,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,9,1,0,0,0,0,0,0,0,3.1,0,0,0,0,0,2,2,5,0,-,-,-,-,-,12.5,-32.38636364,-,-,9,1,3,4,7,10,1,5,989,3,0.58,3.1,5,4,6,3,7,6,198,-,990,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,10,1,0,0,0,0,0,0,0,2.86,0,0,0,0,0,2,2,6,0,-,-,-,-,-,21.81952663,-25,-,-,10,1,3,4,7,9,1,6,998,3,0.54,2.86,6,4,6,3,7,5,197,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,11,1,0,0,0,0,0,0,0,3.94,0,0,0,0,0,1,1,5,0,-,-,-,-,-,8.801775148,-29.16666667,-,-,11,2,5,6,8,12,1,5,999,5,0.98,3.94,5,5,7,5,6,5,192,-,99999,,,,,,,,,,,,,,,,,
180402_1606,1,subjects,5,12,1,0,0,0,0,0,0,0,3.82,0,0,0,0,0,1,1,6,0,-,-,-,-,-,12.35207101,-32.1969697,-,-,12,2,5,6,8,11,1,5,998,5,0.98,3.82,5,5,7,5,6,5,200,-,1000,,,,,,,,,,,,,,,,,
180402_1606,1,globals,Period,NumPeriods,RepeatTreatment,numSubjects,groupSize,numGroups,TRUE,FALSE,Choices,prof,minChoice,fee,rate,a,b,c,choice1,choice2,choice3,choice4,choice5,InfoTime,Time,LastPeriod,groupID,groupIDs[1],groupIDs[2],groupIDs[3],groupIDs[4],groupIDs[5],groupIDs[6],groupIDs[7],groupIDs[8],groupIDs[9],groupIDs[10],groupIDs[11],groupIDs[12],subjectID,pointID,randID,id,au[1],au[2],au[3],au[4],au[5],au[6],au[7],au[8],au[9],au[10],au[11],au[12],Role[1],Role[2],Role[3],Role[4],Role[5],Role[6],Role[7],Role[8],Role[9],Role[10],Role[11],Role[12],i,g
